idx,class,conversation
493,직장 내 괴롭힘 대화,"오대리 가방이 이게 뭐야?
그러게 오대리 돈없어? 가방이 걸레짝이네?
선물로 받은거라 오래써서 좀 닳았습니다.
그러기엔 너무 싸구려 아니야? 브랜드 이름도 안보이네?
싸구려는 아니고.쓸만 합니다.
사람이 진짜 싸구려도 아니고 왜 이런걸 들고 다녀? 진짜 이런 것까지 지적해야하나?
죄송합니다.내일은 바꿔서 들고오겠습니다.
자꾸 이러고 다니면 우리팀 우리회사 욕먹이는거야. 나가봐 누가 그러고 다녀 그 나이에?
잘 하고 다니겠습니다.
진짜 우리 팀 위신떨어져! 누구때문에!
네.죄송합니다."
494,직장 내 괴롭힘 대화,"지수씨 주말에 무슨 약속 있어요?
 아니요 없습니다만!
그래요? 잘됐다 그럼 나랑 어디 좀 가요.
네? 특근 입니까?
아니요. 사적을 가자는건데
네? 죄송합니다. 그건 좀 아닌거 같아요.
뭐가 아니라는 거지? 나랑 어디 가는게 그렇게 싫냐?
아니요 그게 아니라 사적으로 과장님 만나는건 아닌거 같아요.
뭐라고? 지금 과장 말을 거절해? 제정신이야? 회사 짤리고 싶어?
아니요. 너무 부당한거 같습니다."
495,직장 내 괴롭힘 대화,"길동씨 이것 좀 해줘
네! 어떤 건가요?
내가 스타킹이 찢어져서 그것 좀 사다줘
네.?
아니 상사가 부탁하면 좀 사다줄 수 있잖아
네.
돈은 내가 줄테니까 사와
네.
일단 길동씨 돈으로 긁고 내가 나중에 줄게
어 고마워 거기다 둬
네."
496,직장 내 괴롭힘 대화,"길동씨 이거 또 틀렸잖아요!!!
헐 김대리님 죄송합니다.
진짜 죄송하다는 소리도 지겹다 지겨워!!
죄송합니다.
김대리 무슨일인데 그래?
아 진짜 짜증나서 길동씨 말이야 손도 느린데다가 일도 너무 못해서 스트레스 받는단 말이야!!! 
역시. 첫날 딱 봤을때 부터 별로겠다 싶더니만 역시는 역시네!!
아 진짜 짜증나네 길동씨 뭘 그렇게 멍 때리고 서있어요!!
죄송합니다 김대리님.
길동씨는 회사와서 밥먹는거 말고 하는게 도대체 뭐야?
.
이젠 대답도 안하네??
.죄송합니다.
길동씨는 죄송하다는 말 밖에 할줄 아는 말이 없어요?
.
보기싫으니까 자리로 돌아가요!!"
497,협박 대화,"내가 사고낸거 아니야.
내 눈으로 니가운전한거 봣거든.
아 봣구나.그런데 일부러 그런것은아니야
믿을수가없다.
미안해 다시는 안그럴게.
너 이새끼 두고봐 내가 어떻게하나
친구사이에 이러기냐.
친구라는 놈이 나의 소중한애마를 그렇게 만드냐
한번만 용서해주라
일단 경찰서에 증거제출햇고 니 가정 풍비박산 만들테니깐 기대해"
498,갈취 대화,"여보세요??
네 어머니 안녕하세요 형기 담임입니다!!
아 네 안녕하세요!
형기가 요새 성적이 많이 안좋습니다.
아그런가요.?? 형기가 요새 집에서 열심히 하고는 있는데 잘안되나봐요.
제가봤을때는 형기가 열심히해도 정말잘안따라주는거 같아요 그래서 제가 그냥 성적을 올려드릴수도있어요. 근데 어머님이 저에게 성의를 어느정도 보여주시면 바로 해드릴수있어요 
아. 그런가요?? 그럼 한번 찾아뵐께요.
대화가 잘 통하시네요 어머님 기다리고 있겠습니다 
넵."
499,기타 괴롭힘 대화,"동현아 너는 왜 맨날 긴팔만 입고다녀?
응 ? . 
아 맞다. 너 한쪽 팔 없지
. 난 긴팔이 편해.
이 여름에 이렇게 더운데 긴팔이라니 
그만해.
니가 왼손잡이였으면 큰일 났겠다 그치?
무슨소리야
아닌가? 애초에 팔이 하나밖에 없으면 선택권이 없는건가? 
너 조금 지나치다는 생각 안들어?
내가 뭘? 내가 없는 말을 지어낸 것도 아니고 난 니가 걱정되서 그러지
걱정? 니가 지금 걱정을 해주는거라고 ?"
500,갈취 대화,"자기야 나 필요한거 있는뎅.!
어떤거?
음 나 가방 필요해서 그런데 500만원만 주랑
웅.? 갑자기? 자기 며칠 전에도 가방 사줬잖아 
그거는 내 생일선물이였구우 이번꺼는 그냥 여자친구한테 선물 줄 수 있는거잖아앙!
음자기가 이런식으로 매년 나한테 요구하는 돈이 얼만지 알아? 년마다 1000단위인데 우리 미래 생각하려면 돈 아껴야지.!
헐 모야잉 자기야 어차피 결혼하면 자기 돈 내 돈 상관 없이 같이 쓸텐데 나한테 쓰는게 아까워?! 가방 살 돈 안주면 화낸다?!
그게 아니라
그럼 사죠 돈 보내놔 알겠징?! 자기야 사랑행
하 그래"
501,직장 내 괴롭힘 대화,"진짜 별로다 김대리
네?
내가 그렇게 말했는데도 아직도 모르겠어?
네?무슨 말씀이신지
같은팀 선배대신 자기가 좀 행사 근무 지원나가라니까
저 두번이나 나갔는데요.
아는데 우리때는 후배들이 다나갔어 선배들은 하나도신경안쓰고
.네?
그게 당연한건데 요새 젊은 사람들은 너무 자기들 밖에 모르고 자기 권리만 찾잖아 안그래?
.잘모르겠습니다
봐봐 대답도 정내미 없이 하는거"
502,직장 내 괴롭힘 대화,"야 쟤는 오늘도 저 꼴로 왔나봐
아 진짜 미친거같아 한번 오늘도 놀려줄까?
저기 내 발 밑에 쓰레기통 있거든? 이것좀 한번 비워줄래? 아 그리고 저기 쓰레기통도 부탁해
네? 아까도 비워드렸잖아요
아 그랬어? 그럼 저기 사무실 내에 있는 거울 좀 닦아볼래? 너무 더러워서 얼굴이 안보이더라
대리님 정말 죄송한데 저 그럴려고 여기서 일하고 있는거 아니거든요.
뭐??? 너 지금 뭐라했어??? 감히 상사 말에 그렇게 대답을 한다고???
아 죄송해요 제가 여기서 허드렛일만 하는거같아서 말씀드렸어요
허드렛일?? 다이거 누군가는 해야되는 일이야 그걸 너가 하고 있는거고 다 필요한일을 하는건데 왜그래?
아 그럼 제가 조용히 다 할게요."
503,갈취 대화,"어디그리급히 가시나요?
 어머머 누구세요 ?
그건 알필요없고 그 종이가방 엄청 소중히 안고가시네요
 신고할꺼예요 ! !
경찰이 빠를까요 제가 빠를까요 ?
소리지를꺼예요 !
 질러질러 아이고 사람들 여기와보세요 이아주머니가 저를 치한으로 모네요
제발 그냥 보내주세요
 그냥 가세요 종이가방만 고히 놓고 
 말도 안되는 소리 그만하세요"
504,직장 내 괴롭힘 대화,"길동씨 어디까지 했어?
아직 하는 중입니다
아직도? 왜 이렇게 일을 못해
죄송합니다
하. 정말
죄송해요
아니 내가 길동씨 좋으라고 이러는 거야 빨리해 진짜
죄송합니다
누가 고졸아니랄까봐.
네.? 죄송합니다"
505,기타 괴롭힘 대화,"너는 왜케 돼지냐
너 왜 나놀려
어휴 이러니까 따돌림당하지
아니거든
너 솔직히 200키로 넘지
아니야. 100키로대야
이 뚱돼지야 그만좀 먹고 꺼져
나좀 내비둬
깝치지말고 가서 밥이나 먹든가
알았어."
506,갈취 대화,"야 돈 좀 있냐?
나 돈 없는데
나 요즘 완전 거지인데 사고싶은거 생겨서 얼마만 필요한데 일주일 뒤에 바로 갚을게
나도 없어
야 그러지말고 며칠만 빌려주면안돼냐
나도 돈 없다니까
야 친구끼리 왜 이렇게 째째하게구냐? 그거 좀 빌려주는게 어디 덧나냐? 얼마만 달라고
너 저번에도 안 돌려줬잖아.
죽을래? 알바해서라도 만들어서오든지 너네 부모님한테 달라고 하라고
미안해."
507,기타 괴롭힘 대화,"야.근데.이렇게 하는거 맞아.???
맞다고 병신아!!
야 근데 왜 자꾸 욕해.??
왜.? 듣기 싫어??
듣기 싫지 당연히 
어쩌라고 병신아
아니 진짜 기분 나쁘게 하네??
어쩔껀데 병신아
그만해
싫은데 병신아?"
508,갈취 대화,"일주일 안에 100만원.
그걸 어떻게 모아!
못 구해오면 어쩔 수 없지.
뭘.어떻게
장기를 팔든지 해야지.
미쳤어?
그러게 순순히 구해온다고 하면 되잖아.
넌 제정신이 아니야!
돈 앞에서 누가 제정신일 수 있겠니.
절대 못 구해와!"
509,직장 내 괴롭힘 대화,"정한씨 내일에 무슨 약속 있어요?
아니요 없습니다!
그래요? 잘됐다 그럼 내일 나 대신 거래쳐 미팅 좀 갔다와요.
네? 왜 갑자기 그러십니까?
아니. 나 회사안에서만 있고 싶어서 정한씨 능력도 좀 보고
아. 죄송합니다. 저도 저의 일이 있어서.
멀 죄송해 죄송하며 갔다와.
아니요. 저도 제 업무가 있어서 대리님이 가시는게 맞는 것 같습니다.
뭐? 지금 장난해? 너 매일같이 야근하고 싶어?
아니요. 이건 아닌 것 같습니다."
510,갈취 대화,"야 김계란 매점가냐?
으.응
야 내껀 초코우유랑 소시지빵 사와라.
도.돈은?
야 너네집 잘산다며? 좋은말할때 사와라
내꺼 살돈밖에 없단말이야.
너네 아버지 일수하신다며. 야 돈많아서 좋겠다야. 애들은 너네아버지 일수꾼인거아냐?
얘기하지마.
아 나 피곤하게했으니까 호빵도 사와라
알겠어."
511,기타 괴롭힘 대화,"이 여편네는 집구석에 쳐박혀서 밥도 안하고 뭐하는거야
뭐라고했어요.지금?
하늘같은 서방님이 일하고 왔으면 인사부터하고 밥도 미리 차려놔야하는거아니야?
하 지금 말 다했어요?
내가 벌어 오는 돈 받고 사는 주제에
하.
저 주름봐 다 늙어서 할 줄 아는것도 없으면서
나 없이 당신이 살아갈 수 있을거 같아?
말 너무 심한거 아니에요?
뭐가 심해 ! 너가 지금 당장 나가서 돈 벌어올수있어? 이 사회는 여자 나이 많으면 취직도 못해 알지도 못하면서 대들기는
뭐라구요.?"
512,기타 괴롭힘 대화,"배달왔습니다.
 그래 거기두고가
 배달비는 1천원입니다.
 뭐 ? 배달비? 내가 지금 20만원치나 시켰는데?
 네 그래도 정해진 비용이 있습니다.
 뭐 배달이나 하는주제에
 고객님 말씀이 지나치십니다.
 오토바이나 타는주제에 말대꾸하지마
 죄송합니다.
 어디서 까불고 있어 지까짓게"
513,갈취 대화,"어? 야 너 이옷 명품 아냐?
응? 아. 엄마가 이번에 생일선물로 하나 사주셨어.
헐 대박 야 이거 나 좀 빌려주라
응?? 안돼. 엄마가 사주신 거라니까.
아니 내가 이거 달랬냐고 하루만 빌려줘
안돼.미안해.진짜 소중한거야
나 오늘 데이트 할 때 입을 옷이 없어서 그래. 한 번만 응?
너 옷 많잖아. 지금 입은 거 그대로.입어도 되구.
아 진짜 말 안통하네 내일 돌려줄게 가져간다.
안돼.진짜 . 돌려줘 ."
514,갈취 대화,"김이병 이번달 월급 나왔지?
네 15만원 나왔습니다 이상병님
그래? 군대에서 돈 필요없어 나한테 맡겨 전역할때 이자쳐서 줄게
네? 전역하려면 한참 남았는데.
그래 한참 남았지 군생활 꼬이고 싶진 않지?
하지만 이상병님 전부는 좀 그래요
그래 내가 양보하지머 10만원만 줘봐
정말 그래야 합니까?
다 너 군생활 생각해서 그런거야
.여기있습니다"
515,기타 괴롭힘 대화,"야 저기 도움반 애 온다
쟤 진짜 짜증나 저번에 계속 나쫓아다님
지능이 낮아서 그런가 어어없네
확 쥐어패버릴까보다
안녕 얘들아
꺼지라고 말걸지말라고
죽여버린다 꺼지라고
왜그래 미안해
내눈에띄면죽인다 앞으로 다른길로가
응"
516,기타 괴롭힘 대화,"선생님 이 친구가 제 인격모독을 하고 다른 사람에게 자꾸 저에게 거짓 누설을 합니다.
그래서
그 친구한테 잘 이야기를 해서 같이 화해 하고 싶어요
알겠다.
네 무슨 일이시죠 선생님?
야 새끼야 너 이 새끼에게 거짓 누설을 하면 어떡하냐 양아치 같은 놈아
네 저 아무짓도 안했는데 아 이 새끼가 그런식으로 말했어요?
선생님 저 그런식으로 한적이.
야 이 양아치야 너 예 한테 빨리 사죄해
아 예 선생님 아주 잘 알겠습니다. 야 미안하다 우리 학교끝나고 옥상에서 화해 더 하자
앞으로 둘이서 잘해라"
517,협박 대화,"가 야 이리와봐
나 아 죄송합니다
가 죄송하다면 다야?
나 저만 잘못했나요? 같이 잘못인데
가 뭐라고? 말 그딴식으로하냐?아가리를 찢어버려
나 말씀이 너무 심한 거 아닙니까
가 그럼 칼빵 맞아볼래?
나 네?
가 아님 대가리를 망치로 확!
나 경찰에 신고하겠습니다"
518,갈취 대화,"후배야 내가 스타킹이 나갔네 
네?
스타킹을 사야하는데 돈이 없어 1000원 있니?
네? 아니요.
1000원 없어?
네.
그지니? 1000원도 없어?
죄송합니다.
때려서 나오면 한대당 열대야.
수업 종쳤다. 들어가자.
운 좋은 줄 알아.
네."
519,갈취 대화,"나 생일이라고
어쩌라고
생일이라고 생일 선물 없어?
야 생일축하해
말로만???선물없어??
지금 저한테 왜 그러세요
선물달라고 안그럼 인스타그램 에 니가 나한테 꼬리친 부분 캡쳐해서 올린다
자 기프티콘"
520,갈취 대화,"야 100원 줄테니까 빵좀사와. 두개.
100원으로 빵을 어떻게 사.
야 못사? 이거는 돈이 아니냐? 사오라면 사올것이지 말이 많아.
이걸로는 부족해서 못사.
야 너는 돈 없냐? 니돈으로 사면 되잖아. 너 돈 많잖아
아니 나 돈없는데.
야 뒤져서 나오면 100원에 한대다. 
아 이걸로는 문제집사야해
빵사고 사면 되잖아. 내놔 
제발 돌려줘."
521,기타 괴롭힘 대화,"너 올해 몇살이지?
00살이요.
야 너 안되겠다. 빨리 결혼해야겠네.
아직은 경제적으로도 그렇고 여러가지로 준비가 안되어서요.
음. 너는 공무원이랑 결혼해야해.
안정적인 직업인 사람은 비슷하게 안정적인 사람 만나고 싶어하지 않을까요? 
아니야. 안그래.
아.네
뭐 어디 재벌같은 대단한집안이랑 결혼하려고 결혼 안하는건 아니지?
그럴리가요."
522,갈취 대화,"학교 졸업했다고 니가 내 꼬봉도 졸업한 거 같냐?
아니야.
근데 왜 돈 보내라는 거 안 보냈냐?
여기저기 구해봤는데 못 구했어.
그럼 알바라도 해야 될 거 아니야?
준비하는 거 때문에 알바 할 시간이 없어.
그럼 엄마 카드로 현금서비스라도 받으라고.
그건 좀 그래.
뒤질래?
아니야.
오늘 밤까지 피씨방으로 돈 만들어서 가져 와. 안 그러면 내가 니네 집으로 찾아갈 거니까."
523,직장 내 괴롭힘 대화,"과장님. 저 이번에 휴가 좀 갔다와도 되겠습니까.?
휴가? 왜??
좀 쉬다가 오고 싶습니다.
너만 쉬고싶어?
그건 아닌데. 다른 직원들은 이번에 다 나갔다왔는데 저만 지금 6개월째 못나갔습니다.
그야 그만큼 너가 일을 잘하니까 좀만 기다려봐!
저번에도 이러시고 안보내주시지 않았습니까.
김대리. 영영 나가고싶어?
죄송합니다.
그래 담부턴 죄송할 짓 하지마"
524,직장 내 괴롭힘 대화,"아 정말! 이 것 하나 제대로 못해요?
죄송합니다. 아직 제가.미흡해서.
몇 번째야. 도대체 김인턴이 내 일 까지 다해줄거냐구요!!
아닙니다.
배울 의지가 있긴 한거야? 왜 몇 일째 같은 일을 계속 물어봐?어? 일부러 나 열받게 하려는거에요??!
그게 아니라. 알려주실 때도.어려운 거라고.할 때마다 물어보라고 하셔서.
아니 그럼 내가 죽으라면 죽는 시늉이라도 하려고? 적당히 해야지. 내가 지금 당신 일 알려주려고 회사 나온 줄 알아요!?
죄송합니다. 제가 부족해서.
그럼 우리 회사를 왜 들어왔어? 어? 회사에 도움이 될 생각을 해야지. 짐만 되는 사람이 들어와서는.쯧.알아서 해요!
네.알겠습니다."
525,기타 괴롭힘 대화,"공부는 참 더럽게 못 하는데 존나 열심히 하네? 너가 그런다고 성적이 오를거 같아?
말이 너무 심한거 아니니 그냥 갈 길 가
어쭈 이제 말대꾸까지? 이게 미쳤나보네? 맞고싶어?
그만해 내가 뭘 그렇게 잘못했길래 이래 .
진짜 몰라서 묻는거야? 너도 참 눈치 없다 그냥 나는 너가 싫어
그래 내가 미안해.
미안하면 꺼져 이새끼야"
526,직장 내 괴롭힘 대화,"어이 김대리 시킨 거 어디있나
팀장님 어제 말씀하신 자료요.
그럼 내가 얘기한 거 하면 돼잖아.
어제 이틀 정도 걸린다고 하니 그러라고 하섰는데.
어 지금 부장님이 봐야지.
팀장님 제발요.
빨리 해서 1시간 안에 줘.
제발 할게요.
안 되면 너랑 나랑 고과 끝이야.
예. 알겠습니다."
527,갈취 대화,"무료 이벤트라고 해서 왔는데 이것도 꼭 받아야되나요?
당연하죠 세상에 공짜가 어딨어요
아니 그럼 무료라고 써놓으면 안되죠
그럼 애초에 안 받겠다고 해야지 이미 받고 그러시면 어떻게 해요
아니 저 정말 몰랐는데
이미 결제했어요 10만원
아니 제대로 설명을 해주셔야죠
학생 검사까지만 무료인거야 학생이 몰랐던 걸 왜 나한테 따져
아니.
자꾸 이러면 경찰 부를거야
네."
528,기타 괴롭힘 대화,"여보세요 ? 누구세요 ?
나야. 수철이.
김수철? 
어. 이제서야 전화 받는구나.
그야 니가 하루에 몇십통씩 계속 전화하니까 그렇지. 근데 이 번호는 또 뭐야?
니가 내 전화 피하는 거 같아서 친구 핸드폰으로 하는거야.
너 진짜 무서운 애구나. 나한테 왜 그러는건데?
니가 내 전화만 안피했어도 이렇게 안해.
제발 내 시간 좀 방해하지마. 숨막혀. 끊는다.
앞으로 내 전화 바로바로 안받으면 앞으로는 더 심하게 할거니까. 잘 받아라."
529,갈취 대화,"어이 거기 아저씨
응 ? 나 ?
응. 너.
무슨 일이니 꼬마야?
아저씨. 내가 꼬마야? 그것보다 내가 배가 고픈데 가진 것 좀 줘봐
내가 가진 것은 사랑 뿐이야
미친 개소리하지 말고. 나오면 백원당 천대야 퍽 퍽 퍽
진짜 없어 가진거
이빨 그만 털고 내놔 돈
이러지마"
530,갈취 대화,"친구야 6만원만 빌려줘라
어?.나 이거 학교책사야되는데
아 딱 하루만 쓰고 갚을께
아 진짜 안되는데.
맞을래?
미안.내일 꼭 갚아줘.
그래하루만 쓰고 갚을께"
531,기타 괴롭힘 대화,"야.
왜.
너 왜 이렇게 못생겼어?
너 무슨 말을 그렇게 심하게 하니.
너 오늘따라 찐빵 같이 생겼다.
자꾸 그러면 나 간다.
왜 친구끼리 장난도 못치냐. 그런데 찐빵같다는건 사실인데 
나 간다.
야 화났냐 찐빵?
그만 하랬지."
532,갈취 대화,"아니 엄마 왜 내 계좌에 입금을 안해놓는데 미쳤어
아들 엄마가 요즘 아파서 병원비에 다 써버렸어 미안해
아니 됐고 언제 다시 돈들어와 어!?
그게 좀 기다려 봐야 할것 같아 병원비를 더 써야 할것 같거든
아니 나 죽어버릴까 확
미안하다 엄마가 미안해
시끄럽고 더 오래 살아 봐야 뭐해 그냥 그 병원비 나한테 내놔
아니 너가 어떻게 나한테 나한테 그런 소릴할수 있어
나이 들어 오래 살아 봐야 뭐하냐고 아들을 위해 희생해야지
내가 널 잘못 키웠구나
시끄럽고 그 돈 빨리 줘"
533,갈취 대화,"나 노스페이스 바람막이 좀 사줘 그정돈 껌이지?
 가격이 얼만데 그게 껌값이야 말이 되는 소리를 해
 왜 저번에도 잘 사줬었잖아. 지금 내 말 무시하는 거야?
 아니 그건 아닌데.
 그니까 저번처럼 빨리 내 앞에 갖다 바치라고 새끼야
 그게 돈이 얼만데. 나 돈 없어 정말이야
 거짓말 하지마 개소리 하네 또
 저번에도 비슷한 거 사줬잖아 이번 한 번만 봐주면 안돼?
 그런 거 나한테 안 통하는 거 알면서도 또 그러네
 알겠어. 미안해. 사줄게"
534,협박 대화,"오늘도 윗집은 축구하나보다.어휴 오늘 또 잠 다 잤구나.경비실에 전화해야겠다.
경비아저씨죄송한데 101동 3201호에 층간소음 인터폰 좀 해주세요.
여기 3101호인데요 그쪽에서 인터폰 하셨어요?
하루이틀도 아니고 11시면 다 자야하는 시간인데 너무 하신거 아니예요?
그쪽도 애들 키우면서 이정도에 예민하게 굴려면 아파트에 왜 살아요?
낮에는 참는다지만9시부터 시작해서 11시예요!윗집에서 조심해야하는 시간이죠
제가 일하고와서 애들이 반갑다고 인사하고 씻은게 다인데 그게 시끄럽다면 어쩌라구요?
어쩌라니요? 조심해달라구요
이사람이 이런식으로 나오면 망치 들고 내려갑니다.
제대로 층간소음 알려드려요?
지금 뭐라고 하셨어요? 협박하는거예요? 경찰 불러요?
경찰 오기전에 제가 제대로 판 벌립니다.조용히 살고 싶으면 인터폰하지마요.한번만 더 경비실에서 전화오면 밑에집에 불내버릴테니"
535,협박 대화,"너 지금 왜이렇게 늦게들어왔어?
애들이랑 놀고온다고 늦을수도 있지 왜그래
내가 10시까지는 무조건들어오라고했지
0시까지면 한창인데 어떻게 그때 들어와
너 이제 집에서 못나갈줄 알아
나한테 왜그러는데 
또 한번더 이렇게 늦으면 다같이 죽어버리자 그냥
내가 조금 늦게 들어오는게 그렇게 잘못이야?
아니면 다시는 못나가게 니 다리부터 분질러야겠다
가족이고 뭐고 없어 나 집나갈거야"
536,갈취 대화,"친구야 내친구야
무.무슨일이야?
왜그렇게 쫄고그래?
아니.
그건 그렇고 너 에어팟 샀다며?
아 .
나도써보고싶었는데 니꺼 써보고 결정해야겠다
.어제샀어
누가 뭐래? 어제샀는지 오늘 샀는지가 중요하겠니?
 쓰고 꼭 돌려줘야해
 그래 졸업할때 돌려줘도 되냐?
.
 새끼 농담인데 정색은 얼굴 풀어라"
537,직장 내 괴롭힘 대화,"김책임. 거기 에이포용지 좀 채워놔요
네? 제가요?
응 니가요
저는 연구원이지 에이포용지 채우는 사람이 아닌데요?
야. 상사가 채우라면. 채우는 척이라도 해. 그게 사회 생활이야!
네?
까라면 까라고 
네
야 니가 그걸 해? 연구원이라며
까라면 까라면서요
감히 상사말에 토를 달아?"
538,갈취 대화,"저기 죄송한데요.
네?
차비 좀 빌려주세요.
제가 그쪽을 어떻게 믿고 빌려줘요?
제가 상황이 이렇게 됐으니 좀 빌려주시죠.
아니요.제가 바빠서요.
거 얼마나 한다고. 좀 주시죠.
저 갈게요.
줄 때까지 따라갑니다.
왜 이러세요.신고할게요."
539,갈취 대화,"친구야 내가 정말 급해서 그러는 데 돈 좀 빌려주면 안될까?
저번에도 빌려가고 안값았잖아. 안돼.
이씨 누가 안값는데? 어차피 빌려준 거 조금 더 빌려줄 수 있잖아?
싫어. 빌려간 돈이 한두푼도 아니고 한 번도 값은 적 없잖아
아 이렇게 나오시겠다? 그럼 이 사진 학과커뮤니티에 올려도 된다는 거지?
그 사진은 어떻게!! 안돼!! 그러지마
그러니까 돈 좀 빌려달라고 친구야.
신. 신고할거야
이미 사진은 다 퍼진 후일걸?
. 이게 전부야. 이만큼밖에 못 빌려줘.
어차피 빌려줄거면서 고맙다 친구야?
.값을거지?
그럼그럼"
540,직장 내 괴롭힘 대화,"이게뭐야 김사원 똑바로 안해?
뭐가요
말대꾸하지마
예?
이게어디서
죄송합니다
다시해
죄송합니다
빨리해
네"
541,갈취 대화,"엄마 이거 금가락지 말고 금송아지어딨어?
 아이고 왜그러냐 정말
 엄마 내가 지금 죽게 생겼는데 그런말이 어딨어
 엄마 남은게 이거밖에 없어. 이거라도있어야 나도 살지
 엄마 잘생각해 이거 안주면 하나밖에 없는 딸도 이제 못봐
제발 그만해라 . 정신차려라
내가 뭐 나좋자고 그래???
아이고아이고
늙어서 그렇게 주저 앉아 울면 추하니까 얼른 일어나 
정신차려라 
나 제정신이야 내가 돈만 갚으면 이제 일 열심히 할게 엄마고마워
 아이고아이고"
542,갈취 대화,"야 이 볼펜 나 줘
싫은데?
걍 줘
내가 왜?
아 그냥 주라고
아 왜이래
잘쓸게
미쳤어? 이리줘
싫은데
흑흑"
543,협박 대화,"의원님. 그간 안녕하셨죠?
 어어. 아니 여기가 어디야.?
 저 그동안 의원님이 주신 엿먹고 아주 잘살았습니다.
 아니 당신 누구야.? 이거 풀어줘!!!
 의원님 이렇게 나오시면 저 섭섭합니다? 저번에 뒷돈만 홀라당 드시고 비리 터지니까 저 버리셨잖아요.
 아. 아니 그 그게 말일세 내말좀 들어보오
 됐고 의원님 오늘 저랑 이 창고에서 같이 죽는겁니다. 저 이제 내려갈 바닥도 없어요. 의원님이랑 같이 죽고! 저 생 마감하렵니다.
 미안해!! 미안하네 내가 죽을 죄를 지었어 제발 날 살려주게
 아 의원님 저랑 같이 세상 저편 가기 전에 제가 짧은 복수 하고 싶은데 괜찮으시죠? 어차피 나중엔 기억도 못하실 거에요.
 아악!!! 제발!! 살려줘!!!"
544,갈취 대화,"오늘 술한잔 하게 만원씩 내자
나는 술도 안먹는데 왜 내
아 그러고보니 너 저번에 안냈잖아 그러니깐 이만원 내
내가 안간다고 했는데 너가 무조건 오라했잖아
그래도 왔으면 돈을 내야지 저번꺼랑 같이 내
아니 나 진짜 돈도 없고 시간도 없어
그래도 내 어떻게든 만들어서 내
어떻게 만들어 
네 물건을 팔든 엄마한테 달라고하든 알바를 하든 알아서 만들어서 내
안돼 이번에는 팔 물건도 없고 용돈도 다썼어
그건 네 사정이고 야 근데 네가 입고있는 가디건 예쁘다
안돼 이거 생일 선물로 받은 거란말이야 
내가 이만원에 살게 팔아 그리고 그돈으로 술마시러 가면 되겠다"
545,직장 내 괴롭힘 대화,"윤이씨
네?
가서이것좀 씻어와
이건 대리님 텀블러아니에요?
응 맞아 좀 씻어와
왜 대리님걸 제가 .
아 윤이씨가 계약직이라 잘 모르나 본데 원래 이런거 해줘야지 이쁘게 보고 정직원으로 채용될수도 있는거다
.무슨 텀블러 씻는게 정직원이랑 관련있어요
응? 내말 못믿네! 내가 말 한마디 잘못하면 자기 채용도 좀 그래 물거품될수도있어 윤이씨가 자기만 아는 이기적인 사람인거 윗분들도 아시면 좀 그렇겠지?
하 대리님 진짜 너무 하시네요 그리고무슨 말도 안되는 말씀이세요 텀블러 안씻는게 어떻게 그렇게 해석이 되요
그래? 아니꼬우면 윤이씨가 대리하면 되겠다 그치?"
546,기타 괴롭힘 대화,"생긴 것 봐라. 니네 부모님은 무슨 잘못을 하셔서 이런 자식을 낳으셨냐
뭐라는거야. 막말하지마.
아? 아니면 니네 부모 닮아서 이렇게 생겼냐?
내가 너한테 이렇게 말해도 너 기분 좋을 것 같냐?
내 얼굴을 봐? 그렇게 말할 일은 없지 뭐. 넌 쌍판 갈아치워도 안될 면상이네. 갈았네 갈았어
그만해
그만해 그만해 예예 그만할게요
하.
얘는 한숨소리도 못생겼다 애들아
못생긴 애는 앉아있는 것도 못생겼네"
547,기타 괴롭힘 대화,"아 찐따새끼 진짜 쟤 저렇게 맞고도 학교 잘 나온다
그러게 쟤도 참 징하다 나 같으면 전학 갔을듯 
정신 못 차렸나보지 존나 못생겨서 저 안경은 또 뭐냐 찐따새끼 진짜
야 너 이리와봐
나 ? .왜 무슨일이야
너 생각없냐 그렇게 맞고 학교 잘 나온다?
아 .미안해
너는 할 줄 아는 말이 미안하다는 말 밖에 없냐
너도 참 찌질하다"
548,기타 괴롭힘 대화,"안녕 재평아
안녕 재평아 중에서 재평아는 좀 빼지 너랑 아는 사이조차도 되기 싫은데
저 새끼 갑자기 친한 척이야
그니까 미쳤어
왕따 주제에
너네 갑자기 왜 그래.
눈치 더럽게 없네. 갑자기라니
우린 예전부터 너가 싫었어."
